U2 (V)	I_A (nA)
1.5	0.01
2.25	0.03
1.8	0.015
2.1	-0.01
1.65	-0.03
1.8	-0.03
2.1	-0.015
2.25	-0.02
2.4	-0.02
2.85	0.005
3.0	0.025
3.3	0.035
3.6	0.095
3.9	0.27
3.9	0.475
4.2	0.75
4.5	0.96
4.8	1.29
5.1	1.465
5.4	1.265
5.55	0.925
5.85	0.615
6.15	0.27
6.45	0.13
6.75	0.04
6.9	0.02
7.2	0.04
7.35	0.085
7.65	0.2
7.95	0.385
8.25	0.69
8.4	1.02
8.7	1.445
9.0	1.86
9.3	2.415
9.6	3.075
9.75	3.53
10.05	3.5
10.35	2.82
10.65	1.895
10.8	1.14
11.1	0.6
11.25	0.285
11.55	0.125
11.85	0.095
12.15	0.13
12.45	0.33
12.6	0.595
12.9	0.98
13.2	1.46
13.5	2.0
13.8	2.77
13.95	3.525
14.1	4.51
14.4	5.38
14.7	5.93
15.0	5.765
15.15	4.815
15.45	3.525
15.75	2.325
16.05	1.38
16.35	0.735
16.5	0.35
16.8	0.305
17.1	0.395
17.4	0.57
17.55	0.955
17.85	1.545
18.0	2.21
18.3	3.02
18.6	3.985
18.9	5.025
19.2	6.29
19.35	7.375
19.65	8.19
19.95	8.22
20.25	7.395
20.4	6.015
20.7	4.59
20.85	3.115
21.15	2.06
21.45	1.35
21.6	0.985
21.9	0.9
22.2	1.045
22.5	1.42
22.8	1.98
22.95	2.74
23.25	3.73
23.55	4.795
23.85	6.12
24.15	7.66
24.15	8.99
24.45	10.085
24.75	10.245
25.05	10.245
25.35	9.29
25.5	7.83
25.8	6.165
26.1	4.67
26.4	3.525
26.7	2.695
26.85	2.25
27.15	2.11
27.45	2.27
27.6	2.665
27.9	3.405
28.05	4.315
28.35	5.52
28.65	6.97
28.95	8.58
29.25	10.24
29.4	10.245
29.7	10.245
30.0	10.245
30.3	10.245
30.45	10.245
30.75	10.245
30.9	8.835
31.2	7.37
31.5	6.085
31.8	5.185
31.95	5.035
31.95	5.06
31.95	5.07
31.95	5.08
31.95	5.095
31.95	5.065
31.95	5.065
31.95	5.08
31.95	5.075
31.95	5.085
31.95	5.04
31.95	5.095
31.95	5.09
31.95	5.03
31.95	5.105
31.95	5.105
31.95	5.11
31.95	5.1
31.95	5.105
31.95	5.105
31.95	5.1
31.95	5.1
31.95	5.115
31.95	5.055
31.95	5.095
31.95	5.11
31.95	5.095
