U2 (V)	I_A (nA)
2.55	-0.015
1.5	-0.03
0.9	-0.035
1.2	-0.04
1.5	-0.03
1.8	-0.03
1.95	-0.02
2.25	-0.03
2.55	-0.025
2.85	-0.02
3.15	-0.01
3.45	0.015
3.6	0.045
3.75	0.2
4.05	0.41
4.35	0.635
4.65	0.93
4.95	1.115
5.1	1.24
5.4	1.005
5.7	0.63
6.0	0.25
6.3	0.06
6.6	0.005
6.75	-0.005
7.05	-0.01
7.2	-0.02
7.5	0.0
7.8	0.06
8.1	0.2
8.25	0.455
8.55	0.765
8.85	1.11
9.15	1.59
9.45	2.16
9.6	2.755
9.9	2.99
10.2	2.925
10.5	2.245
10.8	1.57
10.95	0.785
11.1	0.345
11.4	0.09
11.7	0.02
12.0	0.01
12.3	0.025
12.45	0.075
12.75	0.31
13.05	0.615
13.35	1.055
13.65	1.575
13.8	2.225
14.1	3.06
14.25	3.665
14.55	4.675
14.85	4.96
15.0	4.73
15.3	3.885
15.6	2.925
15.9	1.885
16.2	1.145
16.35	0.6
16.65	0.24
16.95	0.15
17.25	0.14
17.55	0.31
17.7	0.515
17.85	0.92
18.15	1.445
18.45	2.21
18.75	2.945
19.05	3.88
19.2	4.995
19.5	5.83
19.8	6.6
20.1	6.67
20.25	6.115
20.55	5.14
20.85	4.05
21.0	2.855
21.3	1.975
21.45	1.29
21.75	0.915
22.05	0.755
22.35	0.8
22.65	1.0
22.8	1.365
23.1	1.895
23.4	2.635
23.7	3.55
24.0	4.635
24.15	5.68
24.3	6.98
24.6	7.715
24.9	8.345
25.2	8.12
25.35	7.525
25.65	6.56
25.95	5.55
26.25	4.375
26.55	3.46
26.7	2.86
27.0	2.38
27.3	2.125
27.45	2.075
27.75	2.26
27.9	2.605
28.2	3.235
28.5	4.085
28.8	5.165
29.1	6.36
29.25	7.66
29.55	8.695
29.85	9.6
30.15	10.245
30.45	10.1
30.6	9.76
30.75	8.845
31.05	8.135
31.35	7.055
31.65	6.185
31.8	5.485
31.95	5.595
31.95	5.58
31.95	5.625
31.95	5.615
31.95	5.62
31.95	5.6
31.95	5.625
31.95	5.68
31.95	5.635
31.95	5.61
31.95	5.725
31.95	5.78
31.95	5.78
31.95	5.815
31.95	5.72
31.95	5.84
31.95	5.74
31.95	5.84
31.95	5.82
31.95	5.73
31.95	5.93
31.95	5.82
31.95	5.82
31.95	5.805
31.95	5.805
31.95	5.8
31.95	5.82
