U2 (V)	I_A (nA)
1.05	0.81
0.75	0.03
0.0	0.07
0.0	0.03
0.3	0.065
0.3	0.05
0.6	0.05
0.75	0.05
0.9	0.04
1.2	0.045
1.5	0.05
1.8	0.045
2.1	0.045
2.4	0.06
2.55	0.065
2.85	0.11
3.15	0.2
3.45	0.33
3.75	0.54
3.9	0.77
4.05	1.105
4.35	1.51
4.65	1.905
4.95	2.235
5.1	2.16
5.4	1.705
5.7	1.125
6.0	0.66
6.3	0.355
6.6	0.19
6.75	0.11
7.05	0.085
7.35	0.135
7.5	0.235
7.8	0.43
7.95	0.705
8.25	1.115
8.55	1.57
8.85	2.145
9.15	2.85
9.3	3.645
9.6	4.395
9.9	4.82
10.2	4.58
10.5	3.645
10.65	2.56
10.8	1.56
11.1	0.895
11.4	0.475
11.7	0.24
12.0	0.195
12.15	0.24
12.45	0.435
12.75	0.75
13.05	1.205
13.35	1.785
13.5	2.515
13.8	3.4
14.1	4.4
14.25	5.5
14.55	6.57
14.7	7.245
15.0	7.165
15.3	6.38
15.6	5.105
15.9	3.7
16.05	2.485
16.35	1.595
16.65	1.035
16.95	0.775
17.25	0.71
17.4	0.83
17.55	1.085
17.85	1.57
18.15	2.195
18.45	3.095
18.6	4.16
18.9	5.405
19.2	6.75
19.5	8.085
19.65	9.16
19.95	9.595
20.25	9.305
20.55	8.42
20.85	7.06
21.0	5.575
21.15	4.295
21.45	3.28
21.75	2.605
22.05	2.205
22.35	1.98
22.5	2.065
22.8	2.34
23.1	2.86
23.4	3.645
23.55	4.715
23.85	5.995
24.0	7.445
24.3	8.995
24.6	10.245
24.75	10.245
25.05	10.245
25.35	10.245
25.65	10.245
25.95	9.925
26.1	8.655
26.4	7.48
26.7	6.48
27.0	5.715
27.3	5.155
27.3	4.785
27.6	4.68
27.9	4.785
28.2	5.255
28.5	6.03
28.65	7.13
28.95	8.48
29.25	10.0
29.55	10.245
29.7	10.245
30.0	10.245
30.3	10.245
30.6	10.245
30.75	10.245
31.05	10.245
31.2	10.245
31.5	10.245
31.8	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
31.95	10.245
