U2 (V)	I_A (nA)
1.8	-0.025
0.6	-0.01
0.9	-0.01
1.2	-0.005
2.25	-0.015
1.65	-0.015
1.95	0.005
2.25	-0.01
2.55	0.01
2.85	0.015
3.0	0.0
3.3	0.02
3.6	0.05
3.9	0.15
4.05	0.24
4.35	0.44
4.5	0.635
4.8	0.825
5.1	0.94
5.4	0.87
5.7	0.615
5.85	0.405
6.15	0.25
6.45	0.12
6.75	0.065
7.05	0.045
7.2	0.035
7.5	0.07
7.65	0.115
7.95	0.225
8.25	0.41
8.55	0.615
8.7	0.935
9.0	1.25
9.3	1.675
9.6	2.085
9.9	2.375
10.05	2.32
10.35	1.86
10.65	1.26
10.95	0.765
11.1	0.4
11.25	0.2
11.55	0.135
11.85	0.095
12.15	0.11
12.45	0.185
12.6	0.35
12.9	0.565
13.2	0.9
13.5	1.34
13.8	1.815
13.95	2.435
14.25	3.105
14.4	3.7
14.7	4.03
15.0	3.835
15.15	3.08
15.45	2.175
15.75	1.38
16.05	0.81
16.35	0.43
16.5	0.245
16.8	0.17
17.1	0.195
17.4	0.385
17.7	0.625
17.85	0.975
18.0	1.455
18.3	2.015
18.6	2.71
18.9	3.515
19.2	4.385
19.35	5.175
19.65	5.645
19.95	5.48
20.25	4.755
20.4	3.675
20.7	2.66
21.0	1.74
21.15	1.095
21.45	0.66
21.6	0.465
21.9	0.43
22.2	0.56
22.5	0.82
22.8	1.235
22.95	1.785
23.25	2.495
23.55	3.325
23.85	4.28
24.15	5.32
24.15	6.28
24.45	6.945
24.75	7.065
25.05	6.585
25.35	5.67
25.5	4.535
25.8	3.365
26.1	2.38
26.4	1.685
26.7	1.215
26.85	0.995
27.15	0.97
27.45	1.125
27.6	1.475
27.9	2.02
28.05	2.73
28.35	3.615
28.65	4.705
28.95	5.85
29.1	7.02
29.4	7.93
29.7	8.43
30.0	8.375
30.3	7.83
30.45	6.88
30.75	5.705
30.9	4.56
31.2	3.535
31.5	2.735
31.65	2.205
31.95	2.095
31.95	2.105
31.95	2.115
31.95	2.105
31.95	2.105
31.95	2.09
31.95	2.09
31.95	2.095
31.95	2.095
31.95	2.1
31.95	2.095
31.95	2.1
31.95	2.09
31.95	2.105
31.95	2.105
31.95	2.105
31.95	2.1
31.95	2.09
31.95	2.09
31.95	2.09
31.95	2.09
31.95	2.065
31.95	2.085
31.95	2.08
31.95	2.085
31.95	2.09
