MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.45	-0.04	-0.04	4.5	NAN	
0.1	0.015	0.335	0.335	0.15	NAN	
0.2	0.21	-0.005	-0.005	2.1	NAN	
0.3	0.12	-0.03	-0.03	1.2	NAN	
0.4	0.09	-0.03	-0.03	0.9	NAN	
0.5	0.12	-0.04	-0.04	1.2	NAN	
0.6	0.15	0.105	0.105	1.5	NAN	
0.7	0.21	-0.04	-0.04	2.1	NAN	
0.8	0.195	-0.015	-0.015	1.95	NAN	
0.9	0.225	-0.015	-0.015	2.25	NAN	
1	0.255	-0.015	-0.015	2.55	NAN	
1.1	0.285	-0.01	-0.01	2.85	NAN	
1.2	0.3	0.01	0.01	3	NAN	
1.3	0.33	0.035	0.035	3.3	NAN	
1.4	0.36	0.085	0.085	3.6	NAN	
1.5	0.39	0.2	0.2	3.9	NAN	
1.6	0.405	0.33	0.33	4.05	NAN	
1.7	0.42	0.585	0.585	4.2	NAN	
1.8	0.45	0.82	0.82	4.5	NAN	
1.9	0.48	1.09	1.09	4.8	NAN	
2	0.51	1.235	1.235	5.1	NAN	
2.1	0.54	1.06	1.06	5.4	NAN	
2.2	0.555	0.745	0.745	5.55	NAN	
2.3	0.585	0.435	0.435	5.85	NAN	
2.4	0.615	0.21	0.21	6.15	NAN	
2.5	0.645	0.075	0.075	6.45	NAN	
2.6	0.675	0.025	0.025	6.75	NAN	
2.7	0.69	0.015	0.015	6.9	NAN	
2.8	0.72	0	0	7.2	NAN	
2.9	0.735	0.015	0.015	7.35	NAN	
3	0.765	0.06	0.06	7.65	NAN	
3.1	0.795	0.2	0.2	7.95	NAN	
3.2	0.825	0.47	0.47	8.25	NAN	
3.3	0.84	0.775	0.775	8.4	NAN	
3.4	0.87	1.165	1.165	8.7	NAN	
3.5	0.9	1.63	1.63	9	NAN	
3.6	0.93	2.145	2.145	9.3	NAN	
3.7	0.96	2.7	2.7	9.6	NAN	
3.8	0.975	3.14	3.14	9.75	NAN	
3.9	1.005	3.065	3.065	10.05	NAN	
4	1.035	2.45	2.45	10.35	NAN	
4.1	1.065	1.635	1.635	10.65	NAN	
4.2	1.08	0.9	0.9	10.8	NAN	
4.3	1.095	0.48	0.48	10.95	NAN	
4.4	1.125	0.175	0.175	11.25	NAN	
4.5	1.155	0.06	0.06	11.55	NAN	
4.6	1.185	0.03	0.03	11.85	NAN	
4.7	1.215	0.05	0.05	12.15	NAN	
4.8	1.23	0.14	0.14	12.3	NAN	
4.9	1.26	0.355	0.355	12.6	NAN	
5	1.29	0.68	0.68	12.9	NAN	
5.1	1.32	1.03	1.03	13.2	NAN	
5.2	1.35	1.6	1.6	13.5	NAN	
5.3	1.365	2.2	2.2	13.65	NAN	
5.4	1.395	2.95	2.95	13.95	NAN	
5.5	1.425	3.995	3.995	14.25	NAN	
5.6	1.44	4.76	4.76	14.4	NAN	
5.7	1.47	5.32	5.32	14.7	NAN	
5.8	1.485	5.22	5.22	14.85	NAN	
5.9	1.515	4.405	4.405	15.15	NAN	
6	1.545	3.24	3.24	15.45	NAN	
6.1	1.575	2.135	2.135	15.75	NAN	
6.2	1.605	1.235	1.235	16.05	NAN	
6.3	1.62	0.625	0.625	16.2	NAN	
6.4	1.65	0.29	0.29	16.5	NAN	
6.5	1.68	0.15	0.15	16.8	NAN	
6.6	1.71	0.175	0.175	17.1	NAN	
6.7	1.74	0.35	0.35	17.4	NAN	
6.8	1.755	0.675	0.675	17.55	NAN	
6.9	1.77	1.07	1.07	17.7	NAN	
7	1.8	1.62	1.62	18	NAN	
7.1	1.83	2.405	2.405	18.3	NAN	
7.2	1.86	3.225	3.225	18.6	NAN	
7.3	1.875	4.245	4.245	18.75	NAN	
7.4	1.905	5.47	5.47	19.05	NAN	
7.5	1.935	6.53	6.53	19.35	NAN	
7.6	1.965	7.335	7.335	19.65	NAN	
7.7	1.995	7.485	7.485	19.95	NAN	
7.8	2.01	6.82	6.82	20.1	NAN	
7.9	2.04	5.685	5.685	20.4	NAN	
8	2.07	4.365	4.365	20.7	NAN	
8.1	2.085	2.99	2.99	20.85	NAN	
8.2	2.115	1.96	1.96	21.15	NAN	
8.3	2.13	1.235	1.235	21.3	NAN	
8.4	2.16	0.81	0.81	21.6	NAN	
8.5	2.19	0.655	0.655	21.9	NAN	
8.6	2.22	0.715	0.715	22.2	NAN	
8.7	2.25	0.965	0.965	22.5	NAN	
8.8	2.265	1.365	1.365	22.65	NAN	
8.9	2.295	2.06	2.06	22.95	NAN	
9	2.325	2.935	2.935	23.25	NAN	
9.1	2.355	3.975	3.975	23.55	NAN	
9.2	2.37	5.12	5.12	23.7	NAN	
9.3	2.4	6.565	6.565	24	NAN	
9.4	2.415	7.855	7.855	24.15	NAN	
9.5	2.445	9.135	9.135	24.45	NAN	
9.6	2.475	9.61	9.61	24.75	NAN	
9.7	2.49	9.51	9.51	24.9	NAN	
9.8	2.52	8.775	8.775	25.2	NAN	
9.9	2.55	7.525	7.525	25.5	NAN	
10	2.58	5.93	5.93	25.8	NAN	
10.1	2.61	4.57	4.57	26.1	NAN	
10.2	2.625	3.38	3.38	26.25	NAN	
10.3	2.655	2.51	2.51	26.55	NAN	
10.4	2.685	1.98	1.98	26.85	NAN	
10.5	2.715	1.78	1.78	27.15	NAN	
10.6	2.745	1.8	1.8	27.45	NAN	
10.7	2.745	2.055	2.055	27.45	NAN	
10.8	2.775	2.67	2.67	27.75	NAN	
10.9	2.805	3.39	3.39	28.05	NAN	
11	2.835	4.46	4.46	28.35	NAN	
11.1	2.865	5.76	5.76	28.65	NAN	
11.2	2.88	7.26	7.26	28.8	NAN	
11.3	2.91	8.88	8.88	29.1	NAN	
11.4	2.94	10.245	10.245	29.4	NAN	
11.5	2.97	10.245	10.245	29.7	NAN	
11.6	2.985	10.245	10.245	29.85	NAN	
11.7	3.015	10.245	10.245	30.15	NAN	
11.8	3.045	10.245	10.245	30.45	NAN	
11.9	3.075	10.115	10.115	30.75	NAN	
12	3.09	8.625	8.625	30.9	NAN	
12.1	3.105	7.21	7.21	31.05	NAN	
12.2	3.135	5.945	5.945	31.35	NAN	
12.3	3.165	4.985	4.985	31.65	NAN	
12.4	3.195	4.7	4.7	31.95	NAN	
12.5	3.195	4.71	4.71	31.95	NAN	
12.6	3.195	4.71	4.71	31.95	NAN	
12.7	3.195	4.725	4.725	31.95	NAN	
12.8	3.195	4.72	4.72	31.95	NAN	
12.9	3.195	4.735	4.735	31.95	NAN	
13	3.195	4.705	4.705	31.95	NAN	
13.1	3.195	4.715	4.715	31.95	NAN	
13.2	3.195	4.755	4.755	31.95	NAN	
13.3	3.195	4.77	4.77	31.95	NAN	
13.4	3.195	4.795	4.795	31.95	NAN	
13.5	3.195	4.705	4.705	31.95	NAN	
