MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.495	-0.045	-0.045	4.95	NAN	
0.1	0.225	-0.02	-0.02	2.25	NAN	
0.2	0.21	-0.04	-0.04	2.1	NAN	
0.3	0.12	-0.015	-0.015	1.2	NAN	
0.4	0.15	-0.005	-0.005	1.5	NAN	
0.5	0.135	0	0	1.35	NAN	
0.6	0.15	-0.01	-0.01	1.5	NAN	
0.7	0.165	0.01	0.01	1.65	NAN	
0.8	0.195	-0.005	-0.005	1.95	NAN	
0.9	0.21	0.005	0.005	2.1	NAN	
1	0.24	0.015	0.015	2.4	NAN	
1.1	0.27	0.02	0.02	2.7	NAN	
1.2	0.3	0.035	0.035	3	NAN	
1.3	0.33	0.075	0.075	3.3	NAN	
1.4	0.345	0.15	0.15	3.45	NAN	
1.5	0.375	0.275	0.275	3.75	NAN	
1.6	0.405	0.46	0.46	4.05	NAN	
1.7	0.435	0.705	0.705	4.35	NAN	
1.8	0.465	0.97	0.97	4.65	NAN	
1.9	0.495	1.24	1.24	4.95	NAN	
2	0.495	1.35	1.35	4.95	NAN	
2.1	0.525	1.155	1.155	5.25	NAN	
2.2	0.555	0.825	0.825	5.55	NAN	
2.3	0.585	0.495	0.495	5.85	NAN	
2.4	0.615	0.255	0.255	6.15	NAN	
2.5	0.63	0.125	0.125	6.3	NAN	
2.6	0.66	0.055	0.055	6.6	NAN	
2.7	0.705	0.055	0.055	7.05	NAN	
2.8	0.735	0.065	0.065	7.35	NAN	
2.9	0.75	0.08	0.08	7.5	NAN	
3	0.78	0.21	0.21	7.8	NAN	
3.1	0.81	0.36	0.36	8.1	NAN	
3.2	0.825	0.57	0.57	8.25	NAN	
3.3	0.855	0.82	0.82	8.55	NAN	
3.4	0.87	1.265	1.265	8.7	NAN	
3.5	0.9	1.64	1.64	9	NAN	
3.6	0.93	2.155	2.155	9.3	NAN	
3.7	0.945	2.66	2.66	9.45	NAN	
3.8	0.975	3.07	3.07	9.75	NAN	
3.9	1.005	3.085	3.085	10.05	NAN	
4	1.035	2.605	2.605	10.35	NAN	
4.1	1.05	1.84	1.84	10.5	NAN	
4.2	1.08	1.14	1.14	10.8	NAN	
4.3	1.11	0.64	0.64	11.1	NAN	
4.4	1.14	0.355	0.355	11.4	NAN	
4.5	1.17	0.18	0.18	11.7	NAN	
4.6	1.185	0.17	0.17	11.85	NAN	
4.7	1.2	0.125	0.125	12	NAN	
4.8	1.245	0.235	0.235	12.45	NAN	
4.9	1.275	0.505	0.505	12.75	NAN	
5	1.305	0.865	0.865	13.05	NAN	
5.1	1.335	1.395	1.395	13.35	NAN	
5.2	1.35	2.025	2.025	13.5	NAN	
5.3	1.38	2.735	2.735	13.8	NAN	
5.4	1.41	3.375	3.375	14.1	NAN	
5.5	1.425	3.94	3.94	14.25	NAN	
5.6	1.455	4.525	4.525	14.55	NAN	
5.7	1.47	4.875	4.875	14.7	NAN	
5.8	1.5	4.925	4.925	15	NAN	
5.9	1.53	4.365	4.365	15.3	NAN	
6	1.545	3.45	3.45	15.45	NAN	
6.1	1.56	2.355	2.355	15.6	NAN	
6.2	1.59	1.6	1.6	15.9	NAN	
6.3	1.62	0.93	0.93	16.2	NAN	
6.4	1.65	0.555	0.555	16.5	NAN	
6.5	1.68	0.355	0.355	16.8	NAN	
6.6	1.71	0.325	0.325	17.1	NAN	
6.7	1.725	0.44	0.44	17.25	NAN	
6.8	1.755	0.61	0.61	17.55	NAN	
6.9	1.785	0.945	0.945	17.85	NAN	
7	1.815	1.4	1.4	18.15	NAN	
7.1	1.83	1.995	1.995	18.3	NAN	
7.2	1.86	2.735	2.735	18.6	NAN	
7.3	1.875	3.61	3.61	18.75	NAN	
7.4	1.905	4.585	4.585	19.05	NAN	
7.5	1.935	5.53	5.53	19.35	NAN	
7.6	1.95	6.315	6.315	19.5	NAN	
7.7	1.98	6.675	6.675	19.8	NAN	
7.8	2.01	6.4	6.4	20.1	NAN	
7.9	2.04	5.62	5.62	20.4	NAN	
8	2.07	4.56	4.56	20.7	NAN	
8.1	2.085	3.41	3.41	20.85	NAN	
8.2	2.115	2.43	2.43	21.15	NAN	
8.3	2.145	1.705	1.705	21.45	NAN	
8.4	2.175	1.235	1.235	21.75	NAN	
8.5	2.19	0.99	0.99	21.9	NAN	
8.6	2.205	0.915	0.915	22.05	NAN	
8.7	2.235	1.01	1.01	22.35	NAN	
8.8	2.265	1.28	1.28	22.65	NAN	
8.9	2.295	1.72	1.72	22.95	NAN	
9	2.325	2.33	2.33	23.25	NAN	
9.1	2.34	3.135	3.135	23.4	NAN	
9.2	2.37	4.09	4.09	23.7	NAN	
9.3	2.4	5.14	5.14	24	NAN	
9.4	2.43	6.26	6.26	24.3	NAN	
9.5	2.445	7.37	7.37	24.45	NAN	
9.6	2.475	8.075	8.075	24.75	NAN	
9.7	2.505	8.23	8.23	25.05	NAN	
9.8	2.52	7.905	7.905	25.2	NAN	
9.9	2.55	7.195	7.195	25.5	NAN	
10	2.565	6.085	6.085	25.65	NAN	
10.1	2.595	4.95	4.95	25.95	NAN	
10.2	2.625	3.935	3.935	26.25	NAN	
10.3	2.655	3.15	3.15	26.55	NAN	
10.4	2.685	2.585	2.585	26.85	NAN	
10.5	2.7	2.23	2.23	27	NAN	
10.6	2.73	2.065	2.065	27.3	NAN	
10.7	2.76	2.145	2.145	27.6	NAN	
10.8	2.79	2.385	2.385	27.9	NAN	
10.9	2.82	2.88	2.88	28.2	NAN	
11	2.835	3.615	3.615	28.35	NAN	
11.1	2.85	4.53	4.53	28.5	NAN	
11.2	2.88	5.675	5.675	28.8	NAN	
11.3	2.91	6.885	6.885	29.1	NAN	
11.4	2.94	8.045	8.045	29.4	NAN	
11.5	2.955	9.155	9.155	29.55	NAN	
11.6	2.985	9.88	9.88	29.85	NAN	
11.7	3.015	10.135	10.135	30.15	NAN	
11.8	3.045	9.91	9.91	30.45	NAN	
11.9	3.075	9.255	9.255	30.75	NAN	
12	3.09	8.385	8.385	30.9	NAN	
12.1	3.12	7.41	7.41	31.2	NAN	
12.2	3.15	6.48	6.48	31.5	NAN	
12.3	3.18	5.68	5.68	31.8	NAN	
12.4	3.195	5.435	5.435	31.95	NAN	
12.5	3.195	5.49	5.49	31.95	NAN	
12.6	3.195	5.435	5.435	31.95	NAN	
12.7	3.195	5.44	5.44	31.95	NAN	
12.8	3.195	5.445	5.445	31.95	NAN	
12.9	3.195	5.42	5.42	31.95	NAN	
13	3.195	5.41	5.41	31.95	NAN	
13.1	3.195	5.425	5.425	31.95	NAN	
13.2	3.195	5.425	5.425	31.95	NAN	
13.3	3.195	5.47	5.47	31.95	NAN	
13.4	3.195	5.46	5.46	31.95	NAN	
13.5	3.195	5.46	5.46	31.95	NAN	
