I(mA);V_S(mV);;;;
03.20;23.7;;;;
03.19;132.6;;;;
03.19;228.3;;;;
03.19;331.9;;;;
03.17;445;;;;
02.87;543;;;;
02.68;566;;;;
01.80;620;;;;
01.23;703;;;;
00.56;765;;;;
00.24;834;;;;
00.04;893;;;;
-00.11;948;;;;
-00.27;999;;;;
-00.44;1074;;;;
-00.52;1178;;;;
-00.58;1248;;;;
-00.64;1357;;;;
-00.67;1497;;;;
-00.70;1630;;;;
-00.72;1777;;;;
-00.74;1891;;;;
-00.77;2063;;;;
-00.79;2196;;;;
-00.80;2351;;;;
-00.82;2536;;;;
-00.83;2696;;;;
-00.82;2778;;;;
-00.84;2853;;;;
-00.85;2958;;;;
-00.85;3108;;;;
