I(mA);V_S(mV);;;;
03.21;022.8;;;;
03.19;058.3;;;;
02.52;107.5;;;;
02.02;157.2;;;;
01.56;201.8;;;;
01.11;256.6;;;;
00.90;284.1;;;;
00.64;331.3;;;;
00.39;392.5;;;;
00.18;460;;;;
00.11;491;;;;
00.00;562;;;;
-00.04;596;;;;
-00.12;661;;;;
-00.20;764;;;;
-00.23;843;;;;
-00.23;921;;;;
-00.25;1036;;;;
-00.26;1152;;;;
-00.27;1298;;;;
-00.29;1447;;;;
-00.30;1558;;;;
-00.32;1682;;;;
-00.33;1820;;;;
-00.32;2026;;;;
-00.33;2139;;;;
-00.34;2272;;;;
-00.35;2405;;;;
-00.41;2595;;;;
-00.42;2640;;;;
-00.40;2729;;;;
-00.40;2834;;;;
-00.38;3080;;;;
