I(mA);V_S(mV);;;;
02.03;023.0;;;;
01.45;114.1;;;;
01.08;185.1;;;;
00.89;231.1;;;;
00.78;259.0;;;;
00.66;290.8;;;;
00.51;335.8;;;;
00.34;401;;;;
00.14;500;;;;
-00.00;637;;;;
-00.04;705;;;;
-00.10;808;;;;
-00.13;913;;;;
-00.15;1066;;;;
-00.17;1195;;;;
-00.18;1294;;;;
-00.19;1385;;;;
-00.19;1522;;;;
-00.20;1644;;;;
-00.20;1718;;;;
-00.21;1805;;;;
-00.22;1936;;;;
-00.23;2084;;;;
-00.23;2248;;;;
-00.24;2366;;;;
-00.25;2546;;;;
-00.25;2700;;;;
-00.25;2844;;;;
-00.25;2897;;;;
-00.27;2952;;;;
-00.27;2996;;;;
-00.27;3088;;;;
