I(mA);V_S(mV);;;;
03.19;24.9;;;;
03.19;194.3;;;;
03.18;282.9;;;;
02.74;387.4;;;;
01.67;517;;;;
01.60;569;;;;
00.90;678;;;;
00.74;759;;;;
00.45;814;;;;
00.17;894;;;;
00.11;935;;;;
-00.05;1029;;;;
-00.12;1088;;;;
-00.18;1151;;;;
-00.20;1193;;;;
-00.27;1291;;;;
-00.35;1486;;;;
-00.35;1587;;;;
-00.37;1752;;;;
-00.37;1836;;;;
-00.37;1968;;;;
-00.38;2067;;;;
-00.41;2181;;;;
-00.42;2334;;;;
-00.43;2451;;;;
-00.45;2561;;;;
-00.45;2713;;;;
-00.47;2859;;;;
-00.47;2969;;;;
-00.48;3101;;;;
