I(mA);V_S(mV);;;;
03.21;022.8;;;;
03.21;058.7;;;;
03.20;076.0;;;;
03.20;105.0;;;;
02.63;234.9;;;;
02.19;261.1;;;;
01.95;276.8;;;;
01.58;302.3;;;;
01.07;348.4;;;;
00.69;391.0;;;;
00.50;412;;;;
00.23;448;;;;
00.10;474;;;;
-00.12;529;;;;
-00.26;579;;;;
-00.37;635;;;;
-00.45;697;;;;
-00.50;753;;;;
-00.58;847;;;;
-00.61;931;;;;
-00.61;980;;;;
-00.62;1019;;;;
-00.63;1097;;;;
-00.64;1155;;;;
-00.66;1213;;;;
-00.69;1317;;;;
-00.73;1422;;;;
-00.74;1569;;;;
-00.76;1684;;;;
-00.76;1773;;;;
-00.77;1946;;;;
-00.78;2073;;;;
-00.80;2217;;;;
-00.80;2384;;;;
-00.81;2493;;;;
-00.82;2646;;;;
-00.82;2756;;;;
-00.82;3007;;;;
